Name,Address,City,State,Zip,Average GPA,In-State Tution,Out-State Tuition
University of Alabama School of Medicine,1670 University Blvd, Birmingham,AL,35233,3.79,"$31,550","$65,854"
University of South Alabama College of Medicine,307 N. University Blvd. #130, Mobile,AL,36688,3.8,"$24,070","$37,200"
University of Arizona College of Medicine - Tucson,1501 N Campbell Ave, Tucson,AZ,85724,3.67,"$31,626","$53,300"
University of Arizona College of Medicine-Phoenix,550 E Van Buren St, Phoenix,AZ,85004,3.82,"$32,448","$54,976"
University of Arkansas for Medical Sciences College of Medicine,4301 W Markham St #550, Little Rock,AR,72205,3.82,"$33,010","$65,180"
California Northstate University College of Medicine,9700 W Taron Dr, Elk Grove,CA,95757,3.58,"$59,231","$59,231"
University of California - Davis School of Medicine, 4610 X St, Sacramento,CA,95817,3.72,"$40,550","$52,795"
University of California - Irvine School of Medicine,1001 Health Sciences Rd, Irvine,CA,92617,3.82,"$33,258","$45,503"
University of California-Los Angeles David Geffen School of Medicine,10833 Le Conte Ave, Los Angeles,CA,90095,3.79,"$40,714","$52,959"
University of California - Riverside School of Medicine,900 University Ave, Riverside,CA,92521,3.72,"$40,176","$52,421"
University of California - San Diego School of Medicine,9500 Gilman Dr, La Jolla,CA,92093,3.84,"$33,258","$45,503"
University of California - San Francisco School of Medicine,513 Parnassus Avenue, San Francisco,CA,94143,3.84,"$34,386","$46,631"
University of Southern California Keck School of Medicine,1975 Zonal Ave, Los Angeles,CA,90033,3.76,"$61,428","$61,428"
University of Colorado School of Medicine,13001 E 17th Pl, Aurora,CO,80045,3.79,"$37,850","$63,806"
Quinnipiac University Frank H. Netter MD School of Medicine,275 Mt Carmel Ave, Hamden,CT,6518,3.68,"$57,670","$57,670"
University of Connecticut School of Medicine,263 Farmington Ave, Farmington,CT,6030,3.82,"$34,706","$67,318"
George Washington University School of Medicine and Health Sciences,2300 I St NW, Washington,DC,20052,3.72,"$58,495","$58,495"
Georgetown University School of Medicine,3800 Reservoir Rd NW, Washington,DC,20007,3.74,"$50,892","$50,892"
Florida Atlantic University Charles E. Schmidt College of Medicine,777 Glades Road BC-71, Boca Raton,FL,33431,3.76,"$28,111","$62,532"
Florida International University Herbert Wertheim College of Medicine,11200 SW 8th St, Miami,FL,33199,3.71,"$32,739","$62,739"
Florida State University College of Medicine,600 W College Ave, Tallahassee,FL,32306,3.74,"$22,408","$55,314"
University of Central Florida College of Medicine,6850 Lake Nona Blvd, Orlando,FL,32827,3.76,"$25,491","$26,874"
University of Florida College of Medicine,2000 SW Archer Rd, Gainesville,FL,32603,3.86,"$32,744","$45,000"
University of Miami Miller School of Medicine,1600 NW 10th Ave #1140, Miami,FL,33136,3.8,"$40,494","$44,107"
University of South Florida Health Morsani College of Medicine,12901 Bruce B Downs Blvd, Tampa,FL,33612,3.68,"$33,726","$54,916"
Emory University School of Medicine,201 Dowman Dr, Atlanta,GA,30322,3.79,"$50,000","$50,000"
Medical College of Georgia at Augusta University,1120 15th St, Augusta,GA,30912,3.79,"$28,358","$56,716"
Mercer University School of Medicine,1550 College Street, Macon,GA,31207,3.72,"$42,286","$42,286"
University of Hawaii John A. Burns School of Medicine,2500 Campus Rd, Honolulu,HI,96822,3.76,"$36,672","$71,328"
Chicago Medical School at Rosalind Franklin University of Medicine & Science,10370 Haligus Rd, Huntley,IL,60142,3.62,"$57,411","$57,411"
Loyola University of Chicago Stritch School of Medicine,1032 W Sheridan Rd, Chicago,IL,60660,3.71,"$56,038","$56,038"
Northwestern University The Feinberg School of Medicine,420 E Superior St, Chicago,IL,60611,3.9,"$57,957","$57,957"
Rush Medical College of Rush University,600 S Paulina St Suite 202, Chicago,IL,60612,3.73,"$54,000","$54,000"
Southern Illinois University School of Medicine,801 N Rutledge St, Springfield,IL,62702,3.8,"$34,827","$34,827"
University of Chicago Pritzker School of Medicine,924 E 57th St Suite 104, Chicago,IL,60637,3.9,"$55,440","$55,440"
University of Illinois College of Medicine,1853 W Polk St, Chicago,IL,60612,3.73,"$45,630","$92,808"
Indiana University School of Medicine ,340 W 10th St #6200, Indianapolis,IN,46202,3.82,"$34,496","$58,569"
University of Iowa Carver College of Medicine,375 Newton Rd, Iowa City,IA,52242,3.85,"$36,382","$56,036"
University of Kansas School of Medicine ,3901 Rainbow Blvd, Kansas City,KS,66160,3.83,"$37,148","$65,771"
University of Kentucky College of Medicine ,800 Rose Street MN 150, Lexington,KY,40506,3.82,"$40,396","$71,400"
University of Louisville School of Medicine ,500 S Preston St, Louisville,KY,40202,3.81,"$38,286","$58,196"
Louisiana State University-New Orleans School of Medicine,433 Bolivar St, New Orleans,LA,70112,3.73,"$32,937","$61,114"
Louisiana State University-Shreveport School of Medicine,1501 Kings Hwy, Shreveport,LA,71103,3.77,"$29,343","$61,165"
Tulane University School of Medicine ,1430 Tulane Ave, New Orleans,LA,70112,3.62,"$63,372","$63,372"
Johns Hopkins University School of Medicine,733 N Broadway, Baltimore,MD,21205,3.92,"$51,900","$51,900"
University of Maryland School of Medicine,655 W Baltimore S, Baltimore,MD,21201,3.82,"$34,977","$61,877"
Boston University School of Medicine,72 E Concord St, Boston,MA,2118,3.81,"$58,976","$58,976"
Harvard Medical School,25 Shattuck St, Boston,MA,2115,3.92,"$59,800","$59,800"
